# 中文	English
一个女孩	1girl
前倾	leaning forward
侧身	leaning to the side
倚靠	leaning
抬腿	leg lift
抬起一条腿	leg up
分开双腿	legs apart
双腿举过头	legs over head
倒立双腿	legs up
自抬	lifted by self
莲花坐姿	lotus position
躺卧	lying
中指竖起	middle finger
W形手势	middle w
眯眯眼	mimikaki
招财手势	money gesture
咬脖子	neck biting
接吻颈部	necking
抓领带	necktie grab
挠头	noogie
欧赫卡奈斯多特	ohikaenasutte
确认手势	ok sign
背部朝上	on back
侧躺	on side
腹部朝上	on stomach
单膝跪地	one knee
敞开衣服	open dress
张开手掌	open hand
兰花指	orchid fingers
伸出手臂	outstretched arm
伸展双臂	outstretched arms
伸出一只手	outstretched hand
伸出腿	outstretched leg
双手相扣	own hands clasped
双手合十	own hands together
掌拳礼	palm-fist greeting
掌拳轻击	palm-fist tap
手掌	palm
爪子姿势	paw pose
鸽子姿势	pigeon pose
小指伸出	pinky out
食指中指竖起	pinky swear
指向自己	pointing at self
指向观众	pointing at viewer
向下指	pointing down
向前指	pointing forward
向上指	pointing up
指	pointing
拳头紧握	power fist
展示腋下	presenting armpit
公主抱	princess carry
跪拜	prostration
举拳	raised fist
伸手	reaching
躺卧	reclining
揉眼睛	rubbing eyes
奔跑	running
敬礼	salute
周六夜狂热	saturday night fever
蝎子姿势	scorpion pose
坐姿	seiza
遮眼	shading eyes
影子戏	shadow puppet
六指手势	shaka sign
共享食物	shared food
抓床单	sheet grab
电击手势	shocker (gesture)
少女击中	shoujo kitou-chuu
耸肩	shrugging
嘘	shushing
坐在腿上	sitting on lap
坐着	sitting
拉裙子	skirt pull
割喉手势	slit throat (gesture)
懒散坐姿	slouching
闻花	smelling flower
劈叉	split
张开双臂	spread arms
张开手指	spread fingers
分开双腿	spread legs
蹲下	squatting
单腿站立	standing on one leg
站劈叉	standing split
站立	standing
合十手势	steepled fingers
骑跨	straddling
伸展	stretching
摸下巴	stroking own chin
超级英雄着陆	superhero landing
打电话	talking on phone
姿势	the pose
大腿分开	thigh straddling
竖大拇指（负面）	thumbs down
竖大拇指（正面）	thumbs up
脚尖指向	toe-point
上下颠倒	top-down bottom-up
月光沐浴	tsuki ni kawatte oshioki yo
扭曲身躯	twisted torso
两指礼	two-finger salute
束发	tying hair
绑扎	tying
脱衣	undressing
直立叉腿	upright straddle
眼前V手势	v over eye
嘴前V手势	v over mouth
胜利姿势	victory pose
瓦肯举手礼	vulcan salute
W形手势	w
行走	walking
贴墙走	wallwalking
瓦里扎	wariza
沃森十字	watson cross
打哈欠	yawning
瑜伽	yoga
横跨	yokozuwari
丧尸姿势	zombie pose
臀部特写	ass focus
背部特写	back focus
裁剪手臂	cropped arms
裁剪腿部	cropped legs
裁剪肩部	cropped shoulders
裁剪上半身	cropped torso upper body
裁剪躯干	cropped torso
眼神交流	eye contact
背对	facing away
面向观众	facing viewer
女性视角	female pov
脚部特写	foot focus
全身	full body
远眺	looking afar
注视他人	looking at another
看手机	looking at phone
看着观众	looking at viewer
移开视线	looking away
回头望	looking back
低头	looking down
侧视	looking to the side
抬头	looking up
下半身	lower body
偷窥	peeping
肖像	portrait
视角胯部	pov crotch
视角手部	pov hands
侧面	profile
自拍镜	selfiemirror
斜视	sideways glance
单独特写	solo focus
凝视	staring
正面	straight-on
拍照	taking picture
上半身	upper body
上衣	upshirt
短裤	upshorts
裙底	upskirt
超长发	absurdly long hair
卷发	afro
羊角刘海	ahoge
天线发	antenna hair
不对称刘海	asymmetrical bangs
不对称发型	asymmetrical hair
光头女孩	bald girl
光头	bald
向后梳的刘海	bangs pinned back
刘海	bangs
蜂窝卷发	beehive hairdo
大波浪	big hair
黑发	black hair
金发	blonde hair
蓝发	blue hair
齐刘海	blunt bangs
波比头	bob cut
蝴蝶结发型	bow-shaped hair
锅盖头	bowl cut
编发	braid
编辫刘海	braided bangs
编辫丸子头	braided bun
编辫马尾	braided ponytail
棕发	brown hair
平头	buzz cut
筑前髷	chonmage
云朵发型	cloud hair
内彩发	colored inner hair
梳背头	comb over
锥形丸子头	cone hair bun
玉米辫	cornrows
平头	crew cut
交叉刘海	crossed bangs
王冠辫	crown braid
水晶发	crystal hair
卷发	curly hair
窗帘式发型	curtained hair
深蓝色发	dark blue hair
斜刘海	diagonal bangs
双丸子头	double bun
甜甜圈丸子头	doughnut hair bun
脏辫	dreadlocks
钻孔发型	drill hair
表情发	expressive hair
平顶	flattop
翻飞发型	flipped hair
飘逸发型	floating hair
折叠马尾	folded ponytail
法式编发	french braid
前部编发	front braid
前部马尾	front ponytail
渐变色发	gradient hair
绿发	green hair
灰发	grey hair
耳后头发	hair behind ear
眉间刘海	hair between eyes
发型比基尼	hair bikini
丸子头	hair bun
耳朵发型	hair ears
耳际短发	hair flaps
口中头发	hair in mouth
吸管式发型	hair intakes
一侧头发竖起	hair one side up
遮眼发	hair over eyes
一只眼睛被遮住的头发	hair over one eye
披肩发	hair over shoulder
向后梳的头发	hair pulled back
发圈	hair rings
发带	hair scarf
散开的头发	hair spread out
一缕头发	hair strand
两侧头发竖起	hair two side up
半扎发型	half updo
心形高马尾	heart ahoge
爱心发髻	heart hair bun
公主头	hime cut
巨大卷发	huge afro
巨大心形高马尾	huge ahoge
浅蓝色头发	light blue hair
浅棕色头发	light brown hair
单边颈后发	lone nape hair
长辫子	long braid
长发	long hair
飘逸的长发	long, flowing hair
如烟藤蔓般飘逸的长发	long, flowing hair shifts like tendrils of smoke
低马尾	low ponytail
低双辫	low twin braids
低双马尾	low twintails
低扎的长辫子	low-braided long hair
低扎的长发	low-tied long hair
中等长度头发	medium hair
凌乱的头发	messy hair
米祖拉发型	mizura
莫霍克发型	mohawk
莫霍克发型	mullet
多束扎发	multi-tied hair
多彩头发	multicolored hair
多辫子	multiple braids
日红发型	nihongami
奥卡帕发型	okappa
一侧头发竖起	one side up
分叉刘海	parted bangs
粉红色头发	pink hair
精灵头	pixie cut
尖顶发	pointy hair
波浪发型	pompadour
马尾辫	ponytail
紫色头发	purple hair
四辫子	quad braids
四钻发型	quad drills
四马尾	quad tails
油头	quiff
五马尾	quin tails
彩虹色头发	rainbow hair
红色头发	red hair
卷发	ringlets
光泽的头发	shiny hair
短发	short hair
短马尾	short ponytail
短双马尾	short twintails
圣天马混森发型	shouten pegasus mix mori
侧辫子	side braid
侧编发	side braids
侧鬏髻	side bun
侧面钻孔	side drill
侧挑刘海	side swept bangs
鬓角	sidelocks
银白色头发	silver hair
单辫子	single braid
单根发束吸入	single hair intake
单根发环	single hair ring
单侧鬓角	single sidelock
刺猬头	spiked hair
分叉马尾	split ponytail
挑染头发	streaked hair
挑起刘海	swept bangs
触手发	tentacle hair
束发	tied hair
顶髻	topknot
三股辫	tri braids
三叉尾	tri tails
三髻	triple bun
双辫子	twin braids
双钻孔	twin drills
双马尾	twintails
两侧顶起	two side up
后剃头	undercut
不对称双马尾	uneven twintails
超长刘海	very long bangs
超长发	very long hair
超短发	very short hair
波浪卷发	wavy hair
湿发	wet hair
白发	white hair
美人尖	widow's peak
海滩波浪发型	beach waves hair
编发	braided hairstyle
鬏髻发型	bun hair
烫卷头发	crimped hair
荷兰辫	dutch braid
鱼尾辫	fishtail braid
额前刘海	fringe hair
半扎发	half-up half-down hairstyle
层次感发型	layered hair
波比头	lob hair
派对发型	prom hairstyle
剃刀剪	razor cut hair
卷发	ringlets hair
蓬松发型	shaggy hair
光滑发型	sleek hair
直发	straight hair
纹理感发型	textured hair
双钻孔发型	twin drills hair
盘发	updo hairstyle
瀑布辫	waterfall braid
楔形剪	wedge cut hair
剃光头	clean-shaven
下削式渐变	drop fade
留胡须的渐变发型	fade with beard
络腮胡渐变发型	fade with goatee
胡子渐变发型	fade with mustache
鬓角渐变	fade with sideburns
渐变发型	fade
法式短发	french crop
胡桃夹	goatee
高渐变发型	high-fade
层次剪	layer cut
长胡子	long beard
长胡须	long mustache
低渐变发型	low-fade
中渐变发型	mid-fade
胡须	mustache
羊角胡	mutton chops
剃刀剪	razor cut
剪刀剪	scissor cut
光头	shaved head
短后短侧	short back and sides
短胡须	short mustache
侧分	side part
斜刘海	side-swept fringe
鬓角	sideburns
油头	slick back
刺猬头	spiky hair
渐层渐变发型	taper fade
临时渐变发型	temp fade
纹理短发	textured crop
纹理刘海	textured fringe
浓密胡子	thick beard
稀疏胡子	thin beard
棕红	auburn
金黄	blonde
棕色	brown
栗色	chestnut
铜色	copper
深金色	dark blonde
深棕色	dark brown
深红色	dark red
姜黄色	ginger
灰色	gray
浅金色	light blonde
浅棕色	light brown
中金色	medium blonde
中棕色	medium brown
自然金黄	natural blonde
铂金色	platinum blonde
银色	silver
船锚项圈	anchor choker
船锚发饰	anchor hair ornament
动物头套	animal hood
鹿角	antlers
绷带	bandage on
一只眼睛上的绷带	bandage over one eye
蝙蝠发饰	bat hair ornament
珠项链	bead necklace
头戴耳机	behind-the-head headphones
铃铛	bell
贝雷帽	beret
戴眼镜的	bespectacled
黑色发带	black hairband
眼罩	blindfold
蓝色发带	blue hairband
骨饰发饰	bone hair ornament
发带	bow hairband
兔耳朵饰品	bunny hair ornament
蝴蝶发饰	butterfly hair ornament
胡萝卜发饰	carrot hair ornament
猫耳饰品	cat hair ornament
四叶草发饰	clover hair ornament
可乐瓶眼镜	coke-bottle glasses
蒙眼	covered eyes
新月形发饰	crescent hair ornament
王冠	crown
恶魔角	demon horns
龙角	dragon horns
护肘	elbow pads
眼罩	eyepatch
头戴眼镜	eyewear on head
面部彩绘	facepaint
羽毛发饰	feather hair ornament
贝雷帽	fedora
鱼形发饰	fish hair ornament
头花	flower on head
食物主题发饰	food-themed hair ornament
额饰	forehead jewel
额印	forehead mark
护额	forehead protector
狐狸面具	fox mask
青蛙形发饰	frog hair ornament
防毒面具	gas mask
头戴护目镜	goggles on head
头盔上的护目镜	goggles on headwear
护目镜	goggles
珠子发饰	hair beads
铃铛发饰	hair bell
小球发饰	hair bobbles
蝴蝶结发带	hair bow
花朵发饰	hair flower
发饰	hair ornament
束发带	hair scrunchie
橡皮筋	hair tie
发圈	hairband
夹子	hairclip
别针	hairpin
发圈耳机	hairpods
光环	halo
头戴显示器	head mounted display
花环	head wreath
耳罩式耳机	headphones
心形发饰	heart hair ornament
爱心形状的眼镜	heart-shaped eyewear
帽子放下	hood down
帽子拉起	hood up
帽子	hood
角	horns
瑶池玉枝	jeweled branch of hourai
首饰	jewelry
卡米娜墨镜	kamina shades
簪子	kanzashi
树叶形发饰	leaf hair ornament
萝莉发带	lolita hairband
女仆帽子	maid headdress
头戴面具	mask on head
口罩拉下	mask pull
口罩移除	mask removed
口罩	mask
小礼帽	mini top hat
眼下的痦子	mole under eye
嘴下的痦子	mole under mouth
嘴巴口罩	mouth mask
口部面纱	mouth veil
多条发带	multiple hair bows
音乐符号发饰	musical note hair ornament
护士帽	nurse cap
橙色发带	orange hairband
外框眼镜	over-rim eyewear
尖顶帽	peaked cap
粉红色发带	pink hairband
紫色发带	purple hairband
红色发带	red hairband
丝带	ribbon
无框眼镜	rimless eyewear
水手帽	sailor hat
圣诞帽	santa hat
眼上的伤疤	scar across eye
脸颊上的伤疤	scar on cheek
头骨发饰	skull hair ornament
蛇形发饰	snake hair ornament
雪花发饰	snowflake hair ornament
星星发饰	star hair ornament
太阳镜	sunglasses
外科口罩	surgical mask
天狗面具	tengu mask
王冠	tiara
托金帽	tokin hat
脖子上的哨子	whistle around neck
白色发带	white hairband
翅膀头盔	winged helmet
巫婆帽	witch hat
巫师帽	wizard hat
交叉发饰	x hair ornament
黄色发带	yellow hairband
三个向上箭头	^^^
微笑眨眼	;d
左右摇头	:<>
无表情	:|
三颗心	:3
忧郁	:c
大笑	:d
吐舌	:p
可爱	:q
哭鼻子	(-3-)
闭眼	@ @
微笑眨眼	\(^o^)/
双手合十	+ +
眼镜	=^=
抿嘴卖萌	=v=
指向某人	> @
嘲讽哭	>:(
嘲讽笑	>:)
三叶草	>3<
三叉戟	3:
卖萌	aegyo sal
舌棒	ahegao
琥珀色眼睛	amber eyes
蛙眼	amphibian eyes
怒血管	anger vein
生气	angry
烦躁	annoyed
水绿色眼睛	aqua eyes
黑眼圈	black eyes
黑色巩膜	black sclera
空洞眼神	blank eyes
血丝眼	bloodshot eyes
蓝色眼睛	blue eyes
蓝色巩膜	blue sclera
腮红贴纸	blush stickers
害羞	blush
无聊	bored
大瞳孔	bright pupils
棕色眼睛	brown eyes
青眼圈	bruised eye
纽扣眼	button eyes
头足类眼睛	cephalopod eyes
脸颊鼓起	cheek bulge
捏脸颊	cheek pinching
戳脸颊	cheek poking
拉脸颊	cheek pull
脸贴脸	cheek-to-cheek
抓下巴	chin grab
紧咬牙关	clenched teeth
闭眼	closed eyes
闭嘴	closed mouth
失色	color drain
复眼	compound eyes
困惑	confused
瞳孔收缩	constricted pupils
遮住眼睛	covering eyes
遮住脸	covering face
遮住嘴巴	covering mouth
疯狂眼神	crazy eyes
疯狂微笑	crazy smile
疯狂	crazy
斜视	cross-eyed
睁着眼哭泣	crying with eyes open
哭泣	crying
断线眼	dashed eyes
抑郁	depressed
绝望	despair
坚定	determined
菱形瞳孔	diamond-shaped pupils
瞳孔放大	dilated pupils
失望	disappointed
轻蔑	disdain
厌恶	disgust
点痣嘴	dot mouth
鼻头点	dot nose
道爷高	doyagao
流口水	drooling
醉酒	drunk
耳红	ear blush
尴尬	embarrassed
空洞眼	empty eyes
承受的表情	endured face
嫉妒	envy
邪恶的笑容	evil smile
邪恶	evil
兴奋	excited
无表情的眼睛	expressionless eyes
无表情	expressionless
表情	expressions
夸张的睫毛	extravagant eyelashes
眼睛反射	eye reflection
眼球	eyeball
藏在头发后的眉毛	eyebrows behind hair
透过头发可见的眉毛	eyebrows visible through hair
睫毛	eyelashes
眼线	eyeliner
闭着眼睛	eyes closed
透过头发可见的眼睛	eyes visible through hair
捂脸	facepalm
面部毛发	facial hair
面对着另一个人	facing another
露出獠牙	fang out
獠牙	fang
獠牙	fangs
比心	fingersmile
燃烧的眼睛	flaming eyes
嘴里含花	flower in mouth
花瓣形瞳孔	flower-shaped pupils
慌张	flustered
脸上有食物	food on face
假笑	forced smile
额头对额头	forehead-to-forehead
前额	forehead
皱眉	frown
沮丧	frustrated
满脸通红	full blush
怒火中烧	fume
紧锁的眉头	furrowed brow
怒视	glaring
格拉斯哥微笑	glasgow smile
闪烁	glint
忧郁的表情	gloom (expression)
发光的眼睛	glowing eye
发光的眼睛	glowing eyes
渐变色眼睛	gradient eyes
绿色眼睛	green eyes
绿色巩膜	green sclera
灰色眼睛	grey eyes
龇牙咧嘴	grimace
微笑	grin
内疚	guilt
半闭的眼睛	half-closed eye
半闭的眼睛	half-closed eyes
幸福的眼泪	happy tears
开心	happy
眼里有心	heart in eye
爱心眼	heart-shaped eyes
爱心瞳孔	heart-shaped pupils
喘气	heavy breathing
异色眼	heterochromia
屏息	holding breath
凹眼	hollow eyes
水平瞳孔	horizontal pupils
惊恐	horrified
嫉妒	jealous
吉多梅	jitome
库布里克凝视	kubrick stare
大紫色发光眼	large purple glowing eyes
笑	laughing
舔唇	licking lips
轻红润	light blush
微笑	light smile
嘴唇	lips
口红	lipstick
孤独	lonely
长舌头	long tongue
化妆	makeup
马可眼	mako eyes
异瞳	mismatched pupils
异白眼	mismatched sclera
呻吟	moaning
流口水	mouth drool
咬唇	mouth hold
多色眼	multicolored eyes
淘气	naughty
紧张微笑	nervous smile
紧张	nervous
无嘴	no mouth
无鼻	no nose
无瞳孔	no pupils
无眼白	no sclera
鼻红润	nose blush
流鼻血	nosebleed
圆形	o o
一只眼睛闭着	one eye closed
张嘴	open mouth
橙色眼	orange eyes
橙色眼白	orange sclera
吃豆人眼	pac-man eyes
痛苦	pain
惊慌	panicking
微启唇	parted lips
沉思	pensive
粉红色眼	pink eyes
嘟嘴	pout
紧闭的嘴唇	puckered lips
紫色眼	purple eyes
挑眉	raised eyebrow
双眉高扬	raised eyebrows
被强暴的脸	rape face
方形嘴	rectangular mouth
红眼	red eyes
红唇	red lips
红色眼白	red sclera
环眼	ringed eyes
翻白眼	rolling eyes
悲伤微笑	sad smile
悲伤	sad
流口水痕迹	saliva trail
唾液	saliva
三白眼	sanpaku
害怕	scared
皱眉	scowl
尖叫	screaming
挑逗微笑	seductive smile
严肃	serious
阴影	shaded
害羞	shy
斜嘴	sideways mouth
叹气	sigh
皮肤獠牙	skin fang
困倦	sleepy
狭缝状瞳孔	slit pupils
闻东西	smelling
微笑	smile
笑脸	smiley
得意笑	smirk
抽泣	sobbing
实心圆眼	solid circle eyes
闪亮眼睛	sparkling eyes
吐舌	spit take
咧嘴	split mouth
星形瞳孔	star-shaped pupils
憋笑	stifled laugh
流眼泪	streaming tears
生气	sulking
惊讶	surprised
符号状瞳孔	symbol-shaped pupils
塔雷梅	tareme
眼眶湿润	tearing up
眼泪	tears
牙齿	teeth
思考	thinking
疲倦	tired
伸出舌头	tongue out
舌头	tongue
托罗高	torogao
颤抖	trembling
巨魔脸	troll
傲娇	tsundere
吊眼	tsurime
脸色苍白	turn pale
上牙	upper teeth
心烦	upset
上扬眼睛	upturned eyes
乌乌	uwu
倒三角眉	v-shaped eyebrows
波浪嘴	wavy mouth
白眼	white eyes
瞪大眼睛	wide eyed
瞪大眼睛	wide-eyed
皱眉	wince
担忧	worried
叉形瞳孔	x-shaped pupils
阎德雷	yandere
黄色眼睛	yellow eyes
黄眼白	yellow sclera
动物耳朵	animal ears
蝙蝠耳	bat ears
熊耳	bear ears
猫耳耳机	cat ear headphones
猫耳	cat ears
遮盖耳朵	covering ears
牛耳	cow ears
新月耳环	crescent earrings
水晶耳环	crystal earrings
鹿耳	deer ears
狗耳	dog ears
耳环	earrings
假动物耳朵	fake animal ears
土拨鼠耳	ferret ears
狐狸耳	fox ears
山羊耳	goat ears
心形耳环	heart earrings
圆环耳环	hoop earrings
马耳	horse ears
兽耳模式	kemonomimi mode
狮子耳	lion ears
长尖耳朵	long pointy ears
猴子耳	monkey ears
老鼠耳	mouse ears
熊猫耳	panda ears
猪耳	pig ears
皮卡丘耳	pikachu ears
尖耳朵	pointy ears
兔子耳	rabbit ears
浣熊耳	raccoon ears
羊耳	sheep ears
松鼠耳	squirrel ears
老虎耳	tiger ears
狼耳	wolf ears
可调节领圈	adjusting collar
护身符	amulet
动物项圈	animal collar
水蓝色围巾	aqua neckwear
阿斯科特领结	ascot
黑色围巾	black neckwear
蓝色围巾	blue neckwear
波罗领带	bolo tie
蝴蝶结领结	bowtie
棕色围巾	brown neckwear
链式项链	chain necklace
格子围巾	checkered neckwear
锁骨链	choker
抓取领圈	collar grab
拉扯领圈	collar tug
项圈	collar
十字交叉领结	cross tie
分离式项圈	detached collar
狗项圈	dog collar
羽毛披肩	feather boa
花项链	flower necklace
友谊吊坠	friendship charm
毛皮领圈	fur collar
颈围护目镜	goggles around neck
绿色围巾	green neckwear
灰色围巾	grey neckwear
哈林领口	halterneck
颈挂式耳机	headphones around neck
心形锁骨链	heart choker
高领	high collar
领结	jabot
胸牌链	lanyard
花环	lei
吊坠	locket
玛格塔马珠	magatama
金属项圈	metal collar
颈铃	neck bell
领带丝带	neck ribbon
项链	neck ring
领巾围脖	neck ruff
领巾	neckerchief
胸间领结	necktie between breasts
头戴领结	necktie on head
解开的领带	necktie removed
领带	necktie
敞口领	open collar
橙色领饰	orange neckwear
珍珠项链	pearl necklace
吊坠	pendant
五角星	pentacle
宠物锥形项圈	pet cone
粉红色领饰	pink neckwear
格子领饰	plaid neckwear
低领口	plunging neckline
翻领	popped collar
紫色领饰	purple neckwear
红色领饰	red neckwear
丝带项圈	ribbon choker
水手领	sailor collar
围巾	scarf
无袖高领衫	sleeveless turtleneck
尖刺项圈	spiked collar
披肩	stole
条纹领饰	striped neckwear
高领衫	turtleneck
V领	v-neck
白色领饰	white neckwear
翼形领	wing collar
黄色领饰	yellow neckwear
白皙肌肤	white skin
如霜般闪烁的白皙肌肤	white skin that glimmers like frost
水色连衣裙	aqua dress
方格连衣裙	argyle dress
铠甲连衣裙	armored dress
运动紧身衣	athletic leotard
娃娃裙	babydoll
无袖背心裙	backless dress
无袖背心装	backless outfit
带状胸衣	bandeau
棒球服	baseball uniform
摩托车手服装	biker clothes
骑行套装	bikesuit
比基尼盔甲	bikini armor
比基尼提升	bikini lift
比基尼短裙	bikini skirt
比基尼内裤	bikini under clothes
比基尼	bikini
黑色连衣裙	black dress
蓝色连衣裙	blue dress
紧身衣内衣	bodysuit under clothes
紧身衣	bodysuit
束缚装	bondage outfit
蝴蝶结比基尼	bow bikini
棕色连衣裙	brown dress
商务套装	business suit
蛋糕裙	cake dress
休闲单件泳衣	casual one-piece swimsuit
格子连衣裙	checkered dress
中式连衣裙	china dress
中国服饰	chinese clothes
衣服打折	clothes down
外套连衣裙	coat dress
晚礼服	cocktail dress
领口连衣裙	collared dress
校队泳装	competition school swimsuit
比赛泳装	competition swimsuit
紧身胸衣	corset
百褶裙	crinoline
可爱少女（偶像大师）	cute & girly (idolmaster)
牛仔连衣裙	denim dress
德式连衣裙	dirndl
道具有品	dougi
礼服篮	dress basket
礼服翻转	dress flip
礼服抓取	dress grab
连衣裙	dress
晚礼服	evening gown
眼罩比基尼	eyepatch bikini
国旗裙	flag dress
正式	formal
荷叶边连衣裙	frilled dress
花边	frills
前拉链泳衣	front zipper swimsuit
葬礼服	funeral dress
毛皮装饰连衣裙	fur-trimmed dress
哥特风	gothic
长礼服	gown
绿色连衣裙	green dress
灰色连衣裙	grey dress
运动服	gym uniform
半身裙	half-dress
吊带裙	halter dress
汉服	hanfu
哈伦裤装	harem outfit
高腰低摆裙	high-low skirt
高腰比基尼	highleg bikini
高腰连衣裙	highleg dress
高腰体操服	highleg leotard
拖地裙	hobble dress
不可能紧身衣	impossible bodysuit
不可能连衣裙	impossible dress
和服裙	kimono skirt
和服	kimono
幼儿园校服	kindergarten uniform
蕾丝装饰连衣裙	lace-trimmed dress
