# id	match	title	trigger	strength	summary	source
id	match	title	trigger	strength	summary	source
LTX_2.3_Crisp_Enhance_Style_LoRa	LTX_2.3_Crisp_Enhance_Style_LoRa	清晰细节增强风格		1.0	为想要更清晰、更清晰、电影感感的用户设计的锐利细节增强器。它提升感知清晰度，强化微观细节，增强对比度，使图像和视频帧呈现出更精致、高清的外观。最终呈现出清晰的电影化效果，既展现了质感和结构，又增添了细腻的美化风格清晰度。这是Soft Enhance更锐利的对应产品，Soft Enhance专注于平滑对比度，营造更自然、有机的效果。两种LoRA可以一起使用，并根据场景和你想要的锐度或柔和度，根据不同强度进行平衡，打造定制的增强效果。	https://huggingface.co/vrgamedevgirl84/LTX_2.3_Crisp_Enhance_Style_LoRa
LTX_2.3_Fantasy_Realism_Style_LoRa	LTX_2.3_Fantasy_Realism_Style_LoRa	奇幻真人电影风格	f4nt4sy	1.0	电影奇幻现实主义真人电影的视觉效果。用于创建该LoRA的数据集未使用任何IP。这是一种接地气的高幻想电影风格，不是任何电影或电视剧的静态画面或画面。制作样视频的工作流程可以在这里找到。所有示例视频均为文本转视频，而非图像转视频。角色和环境呈现为逼真的真人奇幻电影素材。场景展现了自然的皮肤质感、细致的织物、逼真的生物、实用的材质、接地光线、氛围环境和电影般的构图。结果让人感觉像是现代高端奇幻电影中的场景，角色可信，环境沉浸。物体、角色和环境看起来像是现实世界的实用奇幻元素，采用真实的材质、自然比例和扎实的物理细节。灯光强调电影般的真实感、环境深度、立体感和戏剧氛围，同时保持了顶级真人奇幻电影典型的可信视觉效果。	https://huggingface.co/vrgamedevgirl84/LTX_2.3_Fantasy_Realism_Style_LoRa
LTX_2.3_Fantasy_Anime_Style_LoRa	LTX_2.3_Fantasy_Anime_Style_LoRa	奇幻动漫电影风格	f4nt4sy4n1m6	1.0	电影奇幻动漫动画渲染的画面效果。用于创建该LoRA的数据集未使用任何IP。这是一种扎实的高幻想动漫插画风格，而非任何电影、电视剧或现有系列的实际画面或图像。制作样视频的工作流程可以在这里找到。所有示例视频均为文本转视频，而非图像转视频。角色和环境呈现为风格化的奇幻动画插画。场景中包括手绘线条、绘画阴影、富有表情的面孔、风格化的奇幻服装、魔法生物、鲜明的氛围特效以及电影构图。结果就像现代高端奇幻动漫电影中的一幕，拥有沉浸式的世界和故事驱动的角色瞬间。物体、角色和环境被呈现为丰富风格化的奇幻插画元素，表面处理如画，比例富有表现力，视觉设计精致。灯光强调电影氛围、魔幻氛围、环境深度和戏剧性叙事，同时保持了高端奇幻动漫画作典型的插画卡通渲染效果。	https://huggingface.co/vrgamedevgirl84/LTX_2.3_Fantasy_Anime_Style_LoRa
LTX_2.3_Clay_Mation_Style_LoRa	LTX_2.3_Clay_Mation_Style_LoRa	黏土动画风格	claymation style	1.0	手工制作的黏土动画风格立体模型，灵感来自经典定格动画。主体似乎用软泥雕塑而成，带有明显的指纹、手掌状纹理、层叠的粘土细节以及微型布景风格的环境。角色、动物和物体看起来都是手工建模的，形状圆润，比例风格化，五官富有表现力。场景类似于用雕塑粘土材料搭建的微型电影布景，常搭配温暖的电影灯光和浅景深，增强手工制作的视觉效果。该模型旨在捕捉传统定格动画的怀旧魅力，赋予图像触感、俏皮且充满个性的感觉。	https://huggingface.co/vrgamedevgirl84/LTX_2.3_Clay_Mation_Style_LoRa
LTX_2.3_Paper_Cut_Out_Style_LoRa	LTX_2.3_Paper_Cut_Out_Style_LoRa	手工纸剪影风格	Pap3rCut0u7	1.0	温馨的手工纸剪影电影立体模型风格，每个主题和环境看起来都是由层层叠叠的纸片拼凑而成。场景中出现叠叠的纸张形状、可见的切割边缘、层叠的纸张、折叠的纸张元素、轻微的纸张卷曲、胶带接缝以及手工制作的纸张细节。结果就像一个用纸张手工制作的迷你童话世界。制作样视频的工作流程可以在这里找到。只需替换LoRA和提示词即可。物体、人物和风景看起来由叠加的纸张构成，边缘清晰，层次分明，触觉层次丰富。灯光自然地突出层叠的纸质边缘和重叠的形状，营造出温暖的电影感，同时保持手工纸张的美感。	https://huggingface.co/vrgamedevgirl84/LTX_2.3_Paper_Cut_Out_Style_LoRa
LTX_2.3_Pixar_Toon_Style_LoRa	LTX_2.3_Pixar_Toon_Style_LoRa	皮克斯电影风格	P1x4r	1.0	皮克斯风格的CGI动画电影感。创建该LoRA的数据集未使用任何IP。这是一种受皮克斯启发的基本动画风格，而不是任何电影或电视剧的静态图片。制作样视频的工作流程可以在这里找到。只需替换LoRA和提示词即可。角色和环境呈现为风格化、高质量的动画电影素材。场景展现了平滑的风格化表面、富有表现力的人物、干净的几何形状、柔和的材质、鲜艳的色彩调色板以及精致的电影灯光。结果就像现代动画电影中的一幕，角色情感丰富，环境视觉丰富。物体、角色和环境看起来像是风格化的CGI素材，拥有平滑的阴影、细腻的材质细节和精心设计的比例。灯光强调角色的可读性、深度、柔和的反射和电影氛围，同时保持高端动画电影典型的干净、吸引人的视觉效果。	https://huggingface.co/vrgamedevgirl84/LTX_2.3_Pixar_Toon_Style_LoRa
LTX_2.3_Fantasy_Painterly_Style_LoRa	LTX_2.3_Fantasy_Painterly_Style_LoRa	奇幻画家电影风格	D4rkP41nt3r	1.0	奇幻画作般的电影风格，每个主题和环境都被描绘成丰富细腻的绘画图像。场景展现了富有表现力的笔触、层叠的颜料纹理、柔和的氛围融合、明亮的魔法光影，以及戏剧性而自然的色彩过渡。结果就像一幅电影奇幻插画被赋予生命，既像古典油画又融合了现代奇幻现实主义。物体、人物和风景通过层叠的绘画笔触构成，带有可见的颜料质感、色调深度和立体光影。光影自然地增强了绘画表面、发光的高光和阴影过渡，营造出电影般的幻想感，同时保持了手工制作的绘画美学。	https://huggingface.co/vrgamedevgirl84/LTX_2.3_Fantasy_Painterly_Style_LoRa
LTX2.3_Cozy_Felt_Style_LoRa	LTX2.3_Cozy_Felt_Style_LoRa	毡制剪裁电影风格	F3ltCut0u7	1.0	温馨的手工毡制剪裁电影立体模型风格，每个主题和环境看起来都是由柔软的毡布拼凑而成。场景中多层毡布、可见的缝线、绒毛纤维、绒毛质感和刺绣风格细节。结果就像一个用布料手工制作的迷你童话世界。物体、人物和景观似乎由层层毡布构成，边缘圆润，阴影柔和，触感深刻。灯光自然地突出缝合的缝线和层叠的材料，营造出温暖的电影感，同时保持手工美学。文本转视频的工作流程可以在这里找到——只需替换LoRA和提示词即可。	https://huggingface.co/vrgamedevgirl84/LTX2.3_Cozy_Felt_Style_LoRa
LTX_2.3_Soft_Enhance_Style_LoRa	LTX_2.3_Soft_Enhance_Style_LoRa	自然细节增强风格	Natural-looking enhancement	1.0	自然细节增强，专为想要更干净、更精致外观的用户设计。它增加了细微细节，提升整体清晰度，并帮助柔化了LTX 2.3的一些强烈对比度。结果是更平滑、更自然的表面效果，细节清晰而不会让画面显得过于锐利。这是Crisp Enhance的柔和对应，后者推动更锐利、更具电影感的美化风格。两个LoRA可以一起使用，并根据不同强度平衡，根据场景和你想要的锐度或柔和度，打造定制的增强效果。	https://huggingface.co/vrgamedevgirl84/LTX_2.3_Soft_Enhance_Style_LoRa
wan_360_epoch20	wan_360_epoch20	360旋转视频	r0t4tion 360 degrees rotation	1	物体被360度旋转	https://civitai.com/models/1346623/360-degree-rotation-microwave-rotation-wan21-i2v-lora
boogu edit_9500	boogu edit_9500	三宫格	根据图一生成三宫格叙事连贯的镜头，原图是…。后续镜头为…，随后…	1	啦啦啦的小黄瓜的三宫格分镜头	
qwen_edit_action	qwen_edit_action	动作人偶	action the scene	1	把任何东西变成玩具和动作人偶，配有关节、逼真的塑料材料和涂装细节	https://huggingface.co/systms/SYSTMS-ACTION-LoRA-Qwen-Image-Edit-2511
breast_size_v2_krea2_loraholic	breast_size_v2_krea2_loraholic	胸部滑块		14	Krea2胸部大小调节，越大越趋动画风格	
360-degree-rotation-microwave-rotation-wan21-i2v-lora	360-degree-rotation-microwave-rotation-wan21-i2v-lora	360环视	r0t4tion 360 degrees rotation	1		
depth-control-lora	depth-control-lora	深度控制		1	Krea2深度控制	https://huggingface.co/stabilityai/control-lora
flux-multi-angles-v2-72poses-comfy	flux-multi-angles-v2-72poses-comfy	多角度	<sks> [azimuth] [elevation] [distance]	1.0	72个精准的相机姿势——对相机位置的精确控制	https://huggingface.co/lovis93/Flux-2-Multi-Angles-LoRA-v2
Qwen-Image-Edit-2511-Zoom-Master	Qwen-Image-Edit-2511-Zoom-Master	放大对象	Zoom into the red highlighted area	1	对图像的选定区域进行精确且高质量的放大变换。模型聚焦于突出区域，增强局部细节、清晰度和构图，同时保持与原始场景的视觉一致性。	
Qwen-Image-Edit-2511-Object-Remover	Qwen-Image-Edit-2511-Object-Remover	移除对象	Remove the specified objects from the image while preserving the background and remaining elements maintaining realism and original details	1	兼容2509和2511版本，专门设计用于精确移除图像中的物体。模型在保留背景和剩余元素的同时，移除指定对象，保持真实感和原有视觉细节。	https://huggingface.co/prithivMLmods/QIE-2511-Object-Remover-v2
Qwen-Image-Edit-2511-Object-Adder	Qwen-Image-Edit-2511-Object-Adder	添加对象	Add the specified objects to the image while preserving the background lighting and surrounding elements maintaining realism and original details	1	兼容2509和2511版本	
medieval-worlds-minis-boogu	medieval-worlds-minis-boogu	中世纪微缩		1	中世纪城堡地标	
boogu-aesthetic	boogu-aesthetic	布古美学	aesthetic	1	训练了大约100张图片，非常美观，我希望它能提升你图片的美学质量	
nightcore-boogu	nightcore-boogu	夜核风格	nightcore	1	创作你自己的夜核风格艺术	
booguimage01loravtnz4	booguimage01loravtnz4	特定人像	vtn	1	特定人像lora	
asian-realistic-lora-boogu-image	nexblend-01-asian-realistic-lora-boogu-image	亚洲写实		1	针对精致的东亚特征进行了优化，尤其是韩国面部美学和时尚的人物渲染。	
texture2albedo	texture2albedo	光影移除		0.25	无点亮平面着色反照率贴图。去除所有阴影、反射、高光。保持与原始图像的结构识别、形状和空间对齐的绝对像素像素，仅显示原始底色。	https://huggingface.co/paom/texture2albedo-v2
Krea2-realism	Krea2-realism	逼真皮肤		0.5	逼真的皮肤、解剖结构和服装。这台LoRA涵盖所有种族、年龄和体型。它适用于适合适合工作内容和成人内容。权重1.0：通用。1.5到2.0：NSFW。	https://huggingface.co/RudySen/Krea2-realism-V1
retroanime	retroanime|Krea-2-LoRA-retroanime	复古动画	Purple retro anime style	1.0	紫色复古动画风格，适合角色、动作和蓝调夜景。	https://huggingface.co/krea/Krea-2-LoRA-retroanime
sunsetblur	sunsetblur|Krea-2-LoRA-sunsetblur	夕照动感虚焦	ethereal motion blur style	1.0	带梦幻运动模糊和夕照氛围，适合速度感和光晕画面。	https://huggingface.co/krea/Krea-2-LoRA-sunsetblur
vintagetarot	vintagetarot|Krea-2-LoRA-vintagetarot	复古塔罗	vintage tarot style	1.0	老式塔罗牌插画感，适合神秘、人物和象征性构图。	https://huggingface.co/krea/Krea-2-LoRA-vintagetarot
rainywindow	rainywindow|Krea-2-LoRA-rainywindow	雨窗氛围	rainy window style	1.0	隔窗雨滴和朦胧玻璃质感，适合情绪化室内外场景。	https://huggingface.co/krea/Krea-2-LoRA-rainywindow
darkbrush	darkbrush|Krea-2-LoRA-darkbrush	单色水墨	monochrome ink wash style	1.0	黑白水墨和浓淡笔触，适合武侠、自然和剪影场景。	https://huggingface.co/krea/Krea-2-LoRA-darkbrush
dotmatrix	dotmatrix|Krea-2-LoRA-dotmatrix	单色点绘	Monochrome stippling style	1.0	黑白点阵/点描版画质感，适合图案化和复古印刷效果。	https://huggingface.co/krea/Krea-2-LoRA-dotmatrix
neondrip	neondrip|Krea-2-LoRA-neondrip	霓虹滴彩	Textured abstract style	1.0	霓虹高光、滴落颜料和抽象纹理，适合强视觉冲击画面。	https://huggingface.co/krea/Krea-2-LoRA-neondrip
kidsdrawing	kidsdrawing|Krea-2-LoRA-kidsdrawing	童趣手绘	naive expressive sketch style	1.0	稚拙、自由的手绘草图感，适合轻松和实验性画面。	https://huggingface.co/krea/Krea-2-LoRA-kidsdrawing
softwatercolor	softwatercolor|Krea-2-LoRA-softwatercolor	柔和水彩装饰	Art Deco watercolor style	1.0	柔和水彩与装饰艺术结合，适合优雅、复古和插画场景。	https://huggingface.co/krea/Krea-2-LoRA-softwatercolor
coolblue	coolblue|Krea-2-LoRA-coolblue	冷蓝水彩	teal watercolor illustration style	0.8	偏冷的蓝绿色水彩插画感，适合清爽、梦幻和轻柔场景。	https://huggingface.co/krea/Krea-2-LoRA-coolblue
plasmoid	plasmoid|Krea-2-LoRA-plasmoid	微光流体	Ethereal shimmering light style	0.8	带微光、流体和发亮边缘的梦幻效果，适合抽象光效与科幻感画面。	https://huggingface.co/krea/Krea-2-LoRA-plasmoid
ltx_cg_girl_v1	CG_girlV1_p|写实少女|CG_girlV1_p-写实少女	LTX 写实少女		1.0	写实少女角色风格 LoRA，适合人物特写、写真和角色镜头。	local:LTX/CG_girlV1_p-写实少女.safetensors
LTX_2.3_Fantasy_Puppet_Style_LoRa	LTX_2.3_Fantasy_Puppet_Style_LoRa	LTX 奇幻木偶风格	6u8p3t	1.0	奇幻木偶电影风格，角色和环境看起来像手工制作的奇幻木偶和实用的微缩电影布景。场景包括缝制面料、磨损的毡布、麻布、皮带、苔藓表面、磨损的衣物、手工雕刻的面孔、光泽的眼睛以及触感十足的手工细节。结果就像是一部由实体木偶、纹理材质和氛围感布景设计组成的奇幻电影场景。物体、角色和环境似乎由层叠的物理材料构成，如毡布、毛皮、麻布、皮革、天鹅绒、苔藓、木材、石头、黄铜和磨损的织物，带有明显的接缝、缝线、材料磨损和手工组装细节。灯光自然突出表面纹理、服装层次、面部雕刻和布景深度，营造出电影般的幻想感，同时保持手工木偶美学。	https://huggingface.co/vrgamedevgirl84/LTX_2.3_Fantasy_Puppet_Style_LoRa
ltx23_distilled_dynamic_fro09_avg	ltx_2.3_22b_distilled_1.1_lora_dynamic_fro09_avg_rank_111_bf16|distilled dynamic fro09 avg	LTX 2.3 动态蒸馏		1.0	LTX 2.3 22B 蒸馏动态 LoRA，用于加速或增强动态生成表现。	local:LTX/ltx_2.3_22b_distilled_1.1_lora_dynamic_fro09_avg_rank_111_bf16.safetensors
ltx219_ic_detailer	ltx-2-19b-ic-lora-detailer|detailer|细节	LTX IC 细节增强		1.0	IC 细节增强 LoRA，适合补充纹理、边缘和局部清晰度。	local:LTX/ltx-2-19b-ic-lora-detailer-细节.safetensors
ltx23_text_projection	ltx-2.3_text_projection_bf16|text_projection	LTX 2.3 文本投射		1.0	LTX 2.3 文本投射辅助权重，用于对应工作流中的文本投射适配。	local:LTX/ltx-2.3_text_projection_bf16.safetensors
ltx23_av_talking_head	LTX-2.3-22b-AV-LoRA-talking-head-v1|talking-head|音视频同步	LTX 2.3 音视频同步说话头		1.0	音视频同步说话头 LoRA，适合口型、语音驱动和人物讲话镜头。	local:LTX/LTX-2.3-22b-AV-LoRA-talking-head-v1-音视频同步.safetensors
ltx23_distilled_dynamic_fro09_avg_hyphen	ltx-2.3-22b-distilled-1.1_lora-dynamic_fro09_avg_rank_111_bf16|distilled dynamic fro09 avg	LTX 2.3 动态蒸馏		1.0	LTX 2.3 22B 蒸馏动态 LoRA，用于加速或增强动态生成表现。	local:LTX/ltx-2.3-22b-distilled-1.1_lora-dynamic_fro09_avg_rank_111_bf16.safetensors
ltx23_distilled_384	ltx-2.3-22b-distilled-lora-384-1.1|蒸馏加速|强度0.6	LTX 2.3 蒸馏加速 384		0.6	LTX 2.3 22B 384 蒸馏加速 LoRA，文件名建议强度 0.6。	local:LTX/ltx-2.3-22b-distilled-lora-384-1.1-蒸馏加速-强度0.6.safetensors
ltx23_ic_hdr	ltx-2.3-22b-ic-lora-hdr-0.9|hdr	LTX IC HDR		0.9	HDR 画面增强 LoRA，适合提升高动态范围、亮暗层次和光影质感。	local:LTX/ltx-2.3-22b-ic-lora-hdr-0.9.safetensors
ltx-2.3-22b-ic-lora-clean-plate	ltx-2.3-22b-ic-lora-clean-plate	LTX IC 删除人物	An empty clean plate of the exact same location: identical background, environment, structures and lighting as the source video, with no people, no humans, no figures, and no body parts such as arms, hands or legs anywhere in the frame. Static photorealistic footage, natural light, high detail.	1.0	通过去除静态或移动摄像机画面中的人物、行人和车辆，同时保留静态背景（建筑、地面标记、植被、街道设施）来制作干净的视觉特效和合成背景。当周围背景足够明显时，它还会移除边缘/前景遮挡物（例如骑行者的手臂、车把或自行车）。	https://huggingface.co/Lightricks/LTX-2.3-22b-IC-LoRA-Clean-Plate
LTX2.3_Cozy_Felt_Style_LoRa	LTX2.3_Cozy_Felt_Style_LoRa	毡制剪裁风格	F3ltCut0u7	1.0	温馨的手工毡制剪裁电影立体模型风格，每个主题和环境看起来都是由柔软的毡布拼凑而成。场景中多层毡布、可见的缝线、绒毛纤维、绒毛质感和刺绣风格细节。结果就像一个用布料手工制作的迷你童话世界。物体、人物和景观似乎由层层毡布构成，边缘圆润，阴影柔和，触感深刻。灯光自然地突出缝合的缝线和层叠的材料，营造出温暖的电影感，同时保持手工美学。文本转视频的工作流程可以在这里找到——只需替换LoRA和提示词即可。	https://huggingface.co/vrgamedevgirl84/LTX2.3_Cozy_Felt_Style_LoRa
ltx23_ic_hdr_scene_emb	ltx-2.3-22b-ic-lora-hdr-scene-emb|hdr-scene-emb	LTX IC HDR 场景嵌入		1.0	HDR 场景嵌入 LoRA，适合增强场景级光影、环境氛围和整体曝光。	local:LTX/ltx-2.3-22b-ic-lora-hdr-scene-emb.safetensors
ltx23_ic_ingredients	ltx-2.3-22b-ic-lora-ingredients-0.9|ingredients	LTX宫格多参		1.0	用于生成短视频，以根据参考表保持角色、道具和位置的视觉一致性。	https://huggingface.co/Lightricks/LTX-2.3-22b-IC-LoRA-Ingredients
ltx23_ic_lipdub	ltx-2.3-22b-ic-lora-lipdub-0.9|lipdub	LTX IC 对口型		0.9	对口型/唇动 LoRA，适合音乐口播、演唱和讲话同步画面。	local:LTX/ltx-2.3-22b-ic-lora-lipdub-0.9.safetensors
ltx23_ic_motion_track	ltx-2.3-22b-ic-lora-motion-track-control-ref0.5|motion-track-control|ref0.5	LTX IC 运动跟踪控制		0.5	运动跟踪控制 LoRA，适合参考运动、轨迹约束和镜头动作复刻。	local:LTX/ltx-2.3-22b-ic-lora-motion-track-control-ref0.5.safetensors
ltx23_ic_outpaint	ltx-2.3-22b-ic-lora-outpaint|outpaint|外扩	LTX IC 外扩		1.0	外扩/扩图 LoRA，适合延展画面边界、补全场景和扩展构图。	local:LTX/ltx-2.3-22b-ic-lora-outpaint-外扩.safetensors
ltx23_ic_refocus	ltx-2.3-22b-ic-lora-refocus|refocus|聚焦	LTX IC 重新聚焦		1.0	重新聚焦 LoRA，适合调整主体清晰度、景深和焦点导向。	local:LTX/ltx-2.3-22b-ic-lora-refocus-聚焦.safetensors
ltx23_ic_union_control	ltx-2.3-22b-ic-lora-union-control-ref0.5|union-control|多合一控制|ref0.5	LTX IC 多合一控制		0.5	多合一控制 LoRA，适合多种参考控制、结构约束和综合编辑。	local:LTX/ltx-2.3-22b-ic-lora-union-control-ref0.5-多合一控制.safetensors
ltx23_guofeng	LTX-2.3-Guofeng-V01|Guofeng|国风	LTX 2.3 国风		1.0	国风美术风格 LoRA，适合古风人物、东方场景和传统审美镜头。	local:LTX/LTX-2.3-Guofeng-V01-国风.safetensors
ltx23_id_celebvhq	ltx-2.3-id-lora-celebvhq-3k|celebvhq|面部一致性	LTX 2.3 面部一致性		1.0	ID/面部一致性 LoRA，适合保持人物脸部身份和多镜头角色一致。	local:LTX/ltx-2.3-id-lora-celebvhq-3k-面部一致性.safetensors
ltx23_id_talkvid	ltx-2.3-id-lora-talkvid-3k-交谈|talkvid|交谈	LTX 2.3 TalkVid 交谈		1.0	交谈场景 ID LoRA，适合人物对话、口播和说话镜头一致性。	local:LTX/ltx-2.3-id-lora-talkvid-3k-交谈.safetensors
ltx23_id_talkvid_plain	ltx-2.3-id-lora-talkvid-3k|talkvid	LTX 2.3 TalkVid		1.0	TalkVid ID LoRA，适合人物说话视频和身份保持。	local:LTX/ltx-2.3-id-lora-talkvid-3k.safetensors
ltx23_licon_msr	LTX-2.3-Licon-MSR-V1|Licon-MSR	LTX 2.3 Licon MSR		1.0	Licon MSR LoRA，适合提升 LTX 2.3 视频运动与画面稳定表现。	local:LTX/LTX-2.3-Licon-MSR-V1.safetensors
ltx23_omnicine	LTX-2.3OmniCine_Preview0.1|OmniCine	LTX 2.3 OmniCine		2.0	OmniCine 电影感预览 LoRA，适合电影化构图、光影和镜头氛围。	local:LTX/LTX-2.3OmniCine_Preview0.1.safetensors
ltx23_reasoning	LTX2.3_Reasoning_V1|Reasoning|逻辑叙事一致性	LTX 2.3 逻辑叙事一致性		1.0	增强逻辑叙事和镜头连续性，适合多步骤动作、剧情和复杂指令。	local:LTX/LTX2.3_Reasoning_V1-逻辑叙事一致性.safetensors
ltx23_ic_cameraman	LTX2.3-22B_IC-LoRA-Cameraman_v1_10500|Cameraman|运镜复刻	LTX IC 运镜复刻		1.0	运镜复刻 LoRA，适合参考镜头运动、摄影机轨迹和动态构图。	local:LTX/LTX2.3-22B_IC-LoRA-Cameraman_v1_10500-运镜复刻.safetensors
ltx23_ic_dual_character	LTX2.3-IC-LORA-Dual-Character|Dual-Character|双人分镜头对话增强	LTX IC 双人对话增强		1.0	双人分镜头对话增强 LoRA，适合双角色互动、交谈和切镜画面。	local:LTX/LTX2.3-IC-LORA-Dual-Character-双人分镜头对话增强.safetensors
ltx23_ic_subtitles_remove	ltx2.3-ic-subtitles-remove-general|subtitles-remove|去字幕	LTX IC 去字幕	Remove subtitles, captions, and related text occlusions from the video, restoring a clean and natural underlying image.	1.0	去字幕 LoRA，适合移除画面字幕、文字覆盖和底部文字干扰。	local:LTX/ltx2.3-ic-subtitles-remove-general去字幕.safetensors
